cond_1	cond_2	time	mean_crossval_score	metric
1_item/short	1_item/long	-4.6	0.5601994301994302	roc_auc
1_item/short	1_item/long	-4.59	0.6038746438746438	roc_auc
1_item/short	1_item/long	-4.58	0.5594871794871794	roc_auc
1_item/short	1_item/long	-4.57	0.5444444444444445	roc_auc
1_item/short	1_item/long	-4.56	0.48982905982905983	roc_auc
1_item/short	1_item/long	-4.55	0.5444729344729344	roc_auc
1_item/short	1_item/long	-4.54	0.5374358974358975	roc_auc
1_item/short	1_item/long	-4.53	0.5841595441595442	roc_auc
1_item/short	1_item/long	-4.52	0.6256695156695158	roc_auc
1_item/short	1_item/long	-4.51	0.623048433048433	roc_auc
1_item/short	1_item/long	-4.5	0.529031339031339	roc_auc
1_item/short	1_item/long	-4.49	0.5426210826210827	roc_auc
1_item/short	1_item/long	-4.48	0.6073504273504273	roc_auc
1_item/short	1_item/long	-4.47	0.4945868945868946	roc_auc
1_item/short	1_item/long	-4.46	0.5559259259259259	roc_auc
1_item/short	1_item/long	-4.45	0.603874643874644	roc_auc
1_item/short	1_item/long	-4.44	0.5730484330484331	roc_auc
1_item/short	1_item/long	-4.43	0.4881196581196582	roc_auc
1_item/short	1_item/long	-4.42	0.6761253561253562	roc_auc
1_item/short	1_item/long	-4.41	0.6871509971509971	roc_auc
1_item/short	1_item/long	-4.4	0.585099715099715	roc_auc
1_item/short	1_item/long	-4.39	0.5966666666666667	roc_auc
1_item/short	1_item/long	-4.38	0.8013675213675213	roc_auc
1_item/short	1_item/long	-4.37	0.6908547008547008	roc_auc
1_item/short	1_item/long	-4.36	0.6292877492877493	roc_auc
1_item/short	1_item/long	-4.35	0.626951566951567	roc_auc
1_item/short	1_item/long	-4.34	0.5991168091168091	roc_auc
1_item/short	1_item/long	-4.33	0.628034188034188	roc_auc
1_item/short	1_item/long	-4.32	0.5011965811965812	roc_auc
1_item/short	1_item/long	-4.31	0.4462108262108262	roc_auc
1_item/short	1_item/long	-4.3	0.5555555555555556	roc_auc
1_item/short	1_item/long	-4.29	0.5633333333333334	roc_auc
1_item/short	1_item/long	-4.28	0.644900284900285	roc_auc
1_item/short	1_item/long	-4.27	0.6168091168091168	roc_auc
1_item/short	1_item/long	-4.26	0.618974358974359	roc_auc
1_item/short	1_item/long	-4.25	0.5982905982905984	roc_auc
1_item/short	1_item/long	-4.24	0.5730484330484331	roc_auc
1_item/short	1_item/long	-4.23	0.6249857549857549	roc_auc
1_item/short	1_item/long	-4.22	0.6049572649572649	roc_auc
1_item/short	1_item/long	-4.21	0.7015954415954415	roc_auc
1_item/short	1_item/long	-4.2	0.6092877492877493	roc_auc
1_item/short	1_item/long	-4.19	0.7188319088319088	roc_auc
1_item/short	1_item/long	-4.18	0.6701424501424501	roc_auc
1_item/short	1_item/long	-4.17	0.6903988603988604	roc_auc
1_item/short	1_item/long	-4.16	0.7583190883190883	roc_auc
1_item/short	1_item/long	-4.15	0.7635612535612536	roc_auc
1_item/short	1_item/long	-4.14	0.7044159544159544	roc_auc
1_item/short	1_item/long	-4.13	0.7458119658119658	roc_auc
1_item/short	1_item/long	-4.12	0.5486894586894587	roc_auc
1_item/short	1_item/long	-4.11	0.7063817663817664	roc_auc
1_item/short	1_item/long	-4.1	0.8238176638176639	roc_auc
1_item/short	1_item/long	-4.09	0.72991452991453	roc_auc
1_item/short	1_item/long	-4.08	0.745014245014245	roc_auc
1_item/short	1_item/long	-4.07	0.70994301994302	roc_auc
1_item/short	1_item/long	-4.06	0.6687179487179488	roc_auc
1_item/short	1_item/long	-4.05	0.7708547008547009	roc_auc
1_item/short	1_item/long	-4.04	0.8678917378917379	roc_auc
1_item/short	1_item/long	-4.03	0.6614529914529914	roc_auc
1_item/short	1_item/long	-4.02	0.7407977207977208	roc_auc
1_item/short	1_item/long	-4.01	0.88002849002849	roc_auc
1_item/short	1_item/long	-4.0	0.8664387464387464	roc_auc
1_item/short	1_item/long	-3.99	0.8966951566951566	roc_auc
1_item/short	1_item/long	-3.98	0.8174928774928775	roc_auc
1_item/short	1_item/long	-3.97	0.7804273504273505	roc_auc
1_item/short	1_item/long	-3.96	0.6304273504273504	roc_auc
1_item/short	1_item/long	-3.95	0.5502279202279202	roc_auc
1_item/short	1_item/long	-3.94	0.6862393162393163	roc_auc
1_item/short	1_item/long	-3.93	0.776039886039886	roc_auc
