cond_1	cond_2	time	mean_crossval_score	metric
1_item/short	1_item/long	-4.6	0.6114930555555556	roc_auc
1_item/short	1_item/long	-4.59	0.5771875	roc_auc
1_item/short	1_item/long	-4.58	0.5815972222222222	roc_auc
1_item/short	1_item/long	-4.57	0.4551736111111111	roc_auc
1_item/short	1_item/long	-4.56	0.701701388888889	roc_auc
1_item/short	1_item/long	-4.55	0.5619097222222222	roc_auc
1_item/short	1_item/long	-4.54	0.5802083333333333	roc_auc
1_item/short	1_item/long	-4.53	0.6392708333333332	roc_auc
1_item/short	1_item/long	-4.52	0.5965972222222222	roc_auc
1_item/short	1_item/long	-4.51	0.5284375	roc_auc
1_item/short	1_item/long	-4.5	0.5528125	roc_auc
1_item/short	1_item/long	-4.49	0.4356944444444444	roc_auc
1_item/short	1_item/long	-4.48	0.5723958333333333	roc_auc
1_item/short	1_item/long	-4.47	0.5907638888888889	roc_auc
1_item/short	1_item/long	-4.46	0.6625694444444445	roc_auc
1_item/short	1_item/long	-4.45	0.6322916666666667	roc_auc
1_item/short	1_item/long	-4.44	0.39850694444444446	roc_auc
1_item/short	1_item/long	-4.43	0.3647222222222223	roc_auc
1_item/short	1_item/long	-4.42	0.521076388888889	roc_auc
1_item/short	1_item/long	-4.41	0.4684722222222222	roc_auc
1_item/short	1_item/long	-4.4	0.5018750000000001	roc_auc
1_item/short	1_item/long	-4.39	0.514375	roc_auc
1_item/short	1_item/long	-4.38	0.5391319444444445	roc_auc
1_item/short	1_item/long	-4.37	0.5246875	roc_auc
1_item/short	1_item/long	-4.36	0.5618749999999999	roc_auc
1_item/short	1_item/long	-4.35	0.6567708333333333	roc_auc
1_item/short	1_item/long	-4.34	0.4857638888888889	roc_auc
1_item/short	1_item/long	-4.33	0.49145833333333333	roc_auc
1_item/short	1_item/long	-4.32	0.48875	roc_auc
1_item/short	1_item/long	-4.31	0.6292013888888889	roc_auc
1_item/short	1_item/long	-4.3	0.6490625	roc_auc
1_item/short	1_item/long	-4.29	0.525625	roc_auc
1_item/short	1_item/long	-4.28	0.5401736111111111	roc_auc
1_item/short	1_item/long	-4.27	0.5595138888888889	roc_auc
1_item/short	1_item/long	-4.26	0.6323263888888889	roc_auc
1_item/short	1_item/long	-4.25	0.41527777777777775	roc_auc
1_item/short	1_item/long	-4.24	0.3646875	roc_auc
1_item/short	1_item/long	-4.23	0.5346527777777778	roc_auc
1_item/short	1_item/long	-4.22	0.44604166666666667	roc_auc
1_item/short	1_item/long	-4.21	0.5158680555555555	roc_auc
1_item/short	1_item/long	-4.2	0.490625	roc_auc
1_item/short	1_item/long	-4.19	0.5829166666666666	roc_auc
1_item/short	1_item/long	-4.18	0.45729166666666665	roc_auc
1_item/short	1_item/long	-4.17	0.5174652777777778	roc_auc
1_item/short	1_item/long	-4.16	0.38861111111111113	roc_auc
1_item/short	1_item/long	-4.15	0.5506597222222223	roc_auc
1_item/short	1_item/long	-4.14	0.4662152777777778	roc_auc
1_item/short	1_item/long	-4.13	0.4350347222222222	roc_auc
1_item/short	1_item/long	-4.12	0.5522916666666666	roc_auc
1_item/short	1_item/long	-4.11	0.40239583333333334	roc_auc
1_item/short	1_item/long	-4.1	0.4149305555555556	roc_auc
1_item/short	1_item/long	-4.09	0.6469444444444444	roc_auc
1_item/short	1_item/long	-4.08	0.5351041666666667	roc_auc
1_item/short	1_item/long	-4.07	0.5358333333333334	roc_auc
1_item/short	1_item/long	-4.06	0.5680902777777778	roc_auc
1_item/short	1_item/long	-4.05	0.6778819444444444	roc_auc
1_item/short	1_item/long	-4.04	0.44774305555555555	roc_auc
1_item/short	1_item/long	-4.03	0.6236805555555556	roc_auc
1_item/short	1_item/long	-4.02	0.6994791666666667	roc_auc
1_item/short	1_item/long	-4.01	0.7827083333333333	roc_auc
1_item/short	1_item/long	-4.0	0.8357986111111111	roc_auc
1_item/short	1_item/long	-3.99	0.8763194444444444	roc_auc
1_item/short	1_item/long	-3.98	0.9001736111111112	roc_auc
1_item/short	1_item/long	-3.97	0.8512500000000001	roc_auc
1_item/short	1_item/long	-3.96	0.7799652777777778	roc_auc
1_item/short	1_item/long	-3.95	0.7969097222222222	roc_auc
1_item/short	1_item/long	-3.94	0.7894791666666666	roc_auc
1_item/short	1_item/long	-3.93	0.7329861111111111	roc_auc
1_item/short	1_item/long	-3.92	0.671701388888889	roc_auc
1_item/short	1_item/long	-3.91	0.7197916666666666	roc_auc
1_item/short	1_item/long	-3.9	0.5362500000000001	roc_auc
1_item/short	1_item/long	-3.89	0.7270833333333333	roc_auc
1_item/short	1_item/long	-3.88	0.7001041666666666	roc_auc
1_item/short	1_item/long	-3.87	0.7072222222222222	roc_auc
1_item/short	1_item/long	-3.86	0.7539583333333333	roc_auc
1_item/short	1_item/long	-3.85	0.6666319444444444	roc_auc
1_item/short	1_item/long	-3.84	0.6201736111111111	roc_auc
1_item/short	1_item/long	-3.83	0.6533680555555555	roc_auc
1_item/short	1_item/long	-3.82	0.6765972222222222	roc_auc
1_item/short	1_item/long	-3.81	0.6889930555555556	roc_auc
1_item/short	1_item/long	-3.8	0.6267013888888888	roc_auc
1_item/short	1_item/long	-3.79	0.5625347222222222	roc_auc
1_item/short	1_item/long	-3.78	0.6958680555555555	roc_auc
1_item/short	1_item/long	-3.77	0.7123263888888889	roc_auc
1_item/short	1_item/long	-3.76	0.6218055555555555	roc_auc
1_item/short	1_item/long	-3.75	0.5986458333333333	roc_auc
1_item/short	1_item/long	-3.74	0.5360763888888889	roc_auc
1_item/short	1_item/long	-3.73	0.5734722222222222	roc_auc
1_item/short	1_item/long	-3.72	0.5876041666666666	roc_auc
1_item/short	1_item/long	-3.71	0.4809375	roc_auc
1_item/short	1_item/long	-3.7	0.5692013888888889	roc_auc
1_item/short	1_item/long	-3.69	0.5856944444444444	roc_auc
